date,Nissan,Toyota,Honda,TOPIX
2012-03-30,881.00,3570.00,3145.00,854.35
2012-04-02,898.00,3565.00,3210.00,856.05
2012-04-03,900.00,3555.00,3200.00,851.02
2012-04-04,878.00,3485.00,3100.00,835.36
2012-04-05,869.00,3460.00,3065.00,832.57
2012-04-06,856.00,3390.00,3010.00,825.71
2012-04-09,827.00,3310.00,2937.00,813.69
2012-04-10,832.00,3360.00,2952.00,813.43
2012-04-11,833.00,3320.00,2899.00,805.84
2012-04-12,830.00,3330.00,2930.00,809.88
2012-04-13,825.00,3325.00,2925.00,815.48
2012-04-16,805.00,3270.00,2868.00,803.83
2012-04-17,804.00,3240.00,2814.00,803.09
2012-04-18,838.00,3330.00,2923.00,819.27
2012-04-19,840.00,3360.00,2896.00,814.13
2012-04-20,844.00,3295.00,2866.00,811.94
2012-04-23,836.00,3265.00,2880.00,809.54
2012-04-24,831.00,3260.00,2871.00,803.94
2012-04-25,840.00,3280.00,2870.00,809.49
2012-04-26,831.00,3290.00,2896.00,810.1
2012-04-27,836.00,3305.00,2896.00,804.27
2012-05-01,802.00,3190.00,2799.00,789.49
2012-05-02,808.00,3205.00,2818.00,792.87
2012-05-07,766.00,3110.00,2660.00,772.06
2012-05-08,790.00,3145.00,2719.00,776.57
2012-05-09,777.00,3145.00,2729.00,765.83
2012-05-10,778.00,3170.00,2711.00,765.42
2012-05-11,804.00,3235.00,2752.00,758.38
2012-05-14,788.00,3230.00,2730.00,756.68
2012-05-15,769.00,3165.00,2655.00,747.4
2012-05-16,752.00,3100.00,2600.00,738.88
2012-05-17,777.00,3145.00,2660.00,747.16
2012-05-18,752.00,3030.00,2564.00,725.54
2012-05-21,743.00,3005.00,2559.00,725.15
2012-05-22,776.00,3080.00,2602.00,733.33
2012-05-23,766.00,3065.00,2567.00,721.57
2012-05-24,755.00,3065.00,2544.00,722.25
2012-05-25,755.00,3065.00,2540.00,722.11
2012-05-28,754.00,3070.00,2536.00,721.11
2012-05-29,757.00,3080.00,2555.00,727.03
2012-05-30,767.00,3075.00,2574.00,723.62
2012-05-31,758.00,3040.00,2512.00,719.49
2012-06-01,735.00,3010.00,2459.00,708.93
2012-06-04,709.00,2904.00,2368.00,695.51
2012-06-05,723.00,2926.00,2417.00,708.24
2012-06-06,741.00,2999.00,2485.00,718.56
2012-06-07,764.00,3060.00,2537.00,730.75
2012-06-08,745.00,3020.00,2491.00,717.74
2012-06-11,773.00,3070.00,2562.00,730.07
2012-06-12,759.00,3035.00,2534.00,724.37
2012-06-13,750.00,3050.00,2546.00,726.44
