SONY,TOPIX,TB
3710,1043.69,0.012
4250,1047.51,0.008
4460,1082.47,0.006
4360,1179.23,0.008
4270,1186.31,0.008
4020,1139.94,0.007
4110,1189.6,0.01
3910,1139.3,0.01
3780,1129.55,0.011
3760,1102.11,0.015
3690,1085.43,0.01
3750,1098.79,0.008
3960,1149.63,0.008
3840,1146.14,0.007
3990,1177.41,0.007
4270,1182.18,0.008
3920,1129.93,0.008
4060,1144.33,0.008
3820,1177.2,0.008
3710,1204.98,0.008
3700,1271.29,0.008
3730,1412.28,0.008
3760,1444.73,0.008
4450,1536.21,0.008
4820,1649.76,0.008
5700,1710.77,0.008
5530,1660.42,0.008
5450,1728.16,0.03
5720,1716.43,0.045
5010,1579.94,0.093
5050,1586.96,0.126
5280,1572.01,0.4
5080,1634.46,0.393
4780,1610.73,0.386
4850,1617.42,0.383
4580,1603.03,0.383
5100,1681.07,0.433
5550,1721.96,0.416
6170,1752.74,0.65
5990,1713.61,0.65
6420,1701,0.64
7010,1755.68,0.633
6330,1774.88,0.626
6310,1706.18,0.606
5580,1608.25,0.676
5570,1616.62,0.626
5640,1620.07,0.586
6010,1531.88,0.623
6200,1475.68,0.616
5220,1346.31,0.586
4990,1324.28,0.593
3970,1212.96,0.626
4780,1358.65,0.63
5280,1408.14,0.613
4640,1320.1,0.616
4120,1303.62,0.573
4240,1254.71,0.583
3170,1087.41,0.663
2220,867.12,0.62
1843,834.82,0.506
1922,859.24,0.216
