期間,TOPIX,株式コード,上場コード,銘柄名称,終値,終値（権利落調整済）,時価総額（発行済み株式数ベース）
2013/04,1165.13,6758,011,ソニーグループ,1613,1613,1632275682278
2013/05,1135.78,6758,011,ソニーグループ,2049,2049,2073485972094
2013/06,1133.84,6758,011,ソニーグループ,2078,2078,2102889461112
2013/07,1131.7,6758,011,ソニーグループ,2068,2068,2092769685072
2013/08,1106.05,6758,011,ソニーグループ,1972,1972,1995640935488
2013/09,1194.1,6758,011,ソニーグループ,2098,2098,2123196144996
2013/10,1194.26,6758,011,ソニーグループ,1877,1877,1949517254943
2013/11,1258.66,6758,011,ソニーグループ,1867,1867,1939132775353
2013/12,1302.29,6758,011,ソニーグループ,1826,1826,1896569529734
2014/01,1220.64,6758,011,ソニーグループ,1626,1626,1688876540334
2014/02,1211.66,6758,011,ソニーグループ,1780,1780,1848833061020
2014/03,1202.89,6758,011,ソニーグループ,1972,1972,2048294035548
2014/04,1162.44,6758,011,ソニーグループ,1792,1792,1872116318464
2014/05,1201.41,6758,011,ソニーグループ,1627,1627,1699742628209
2014/06,1262.56,6758,011,ソニーグループ,1682,1682,1757202500894
2014/07,1289.42,6758,011,ソニーグループ,1772,1772,1851240591924
2014/08,1277.97,6758,011,ソニーグループ,1990,1990,2086686764860
2014/09,1326.29,6758,011,ソニーグループ,1991,1991,2162050762135
2014/10,1333.64,6758,011,ソニーグループ,2072,2072,2382154010488
2014/11,1410.34,6758,011,ソニーグループ,2600,2600,2989207595400
2014/12,1407.51,6758,011,ソニーグループ,2472.5,2472,2845826100513
2015/01,1415.07,6758,011,ソニーグループ,2774,2774,3211373048698
2015/02,1523.85,6758,011,ソニーグループ,3414.5,3414,3992651539670
2015/03,1543.11,6758,011,ソニーグループ,3190,3190,3730857354400
2015/04,1592.79,6758,011,ソニーグループ,3644.5,3644,4263238646070
2015/05,1673.65,6758,011,ソニーグループ,3862,3862,4517797182920
2015/06,1630.4,6758,011,ソニーグループ,3461.5,3462,4050154243940
2015/07,1659.52,6758,011,ソニーグループ,3533,3533,4442233660480
2015/08,1537.05,6758,011,ソニーグループ,3162,3162,3990957066120
2015/09,1411.16,6758,011,ソニーグループ,2898.5,2898,3658511511160
2015/10,1558.2,6758,011,ソニーグループ,3480,3480,4392511192800
2015/11,1580.25,6758,011,ソニーグループ,3177,3177,4010077896120
2015/12,1547.3,6758,011,ソニーグループ,3002,3002,3789426581320
2016/01,1432.07,6758,011,ソニーグループ,2523,2523,3185051246280
2016/02,1297.85,6758,011,ソニーグループ,2387,2387,3013366368320
2016/03,1347.2,6758,011,ソニーグループ,2893,2893,3652228100180
2016/04,1340.55,6758,011,ソニーグループ,2778,2778,3507207665280
2016/05,1379.8,6758,011,ソニーグループ,3100,3100,3913803816000
2016/06,1245.82,6758,011,ソニーグループ,2988,2988,3772614318480
2016/07,1322.74,6758,011,ソニーグループ,3282,3282,4143913785720
2016/08,1329.54,6758,011,ソニーグループ,3325,3325,4198273877000
2016/09,1322.78,6758,011,ソニーグループ,3293,3293,4158561295980
2016/10,1393.02,6758,011,ソニーグループ,3361,3361,4245562970060
2016/11,1469.43,6758,011,ソニーグループ,3288,3288,4153392919680
2016/12,1518.61,6758,011,ソニーグループ,3275,3275,4137262829000
2017/01,1521.67,6758,011,ソニーグループ,3423,3423,4324485250680
2017/02,1535.32,6758,011,ソニーグループ,3478,3478,4394027501480
2017/03,1512.6,6758,011,ソニーグループ,3766,3766,4758671880760
2017/04,1531.8,6758,011,ソニーグループ,3759,3759,4750487597940
2017/05,1568.37,6758,011,ソニーグループ,4034,4034,5098078677040
2017/06,1611.9,6758,011,ソニーグループ,4286,4286,5417538116560
2017/07,1618.61,6758,011,ソニーグループ,4540,4540,5740212832400
2017/08,1617.41,6758,011,ソニーグループ,4337,4337,5483658389120
2017/09,1674.75,6758,011,ソニーグループ,4186,4186,5293552642560
2017/10,1765.96,6758,011,ソニーグループ,4413,4413,5580897184380
2017/11,1792.08,6758,011,ソニーグループ,5201,5201,6577448602760
2017/12,1817.56,6758,011,ソニーグループ,5083,5083,6431248742282
2018/01,1836.71,6758,011,ソニーグループ,5209,5209,6592781023177
2018/02,1768.24,6758,011,ソニーグループ,5442,5442,6888631355742
2018/03,1716.3,6758,011,ソニーグループ,5146,5146,6516754166354
2018/04,1777.23,6758,011,ソニーグループ,5400,5400,6839381604600
2018/05,1747.45,6758,011,ソニーグループ,5160,5160,6544290996840
2018/06,1730.89,6758,011,ソニーグループ,5664,5664,7184448402336
2018/07,1753.29,6758,011,ソニーグループ,5828,5828,7397530800544
2018/08,1735.35,6758,011,ソニーグループ,6348,6348,8057938834008
2018/09,1817.25,6758,011,ソニーグループ,6966,6966,8846222616738
