date        , 日経平均    , TOPIX  , 株式コード, 上場コード, 企業名  , 終値   , 調整済み終値
2007/04/02, 17028.41, 1682.49, 7201 , 011  , 日産自動車 , 1259 , 1259
2007/04/03, 17244.05, 1704.32, 7201 , 011  , 日産自動車 , 1265 , 1265
2007/04/04, 17544.09, 1730.52, 7201 , 011  , 日産自動車 , 1289 , 1289
2007/04/05, 17491.42, 1720.72, 7201 , 011  , 日産自動車 , 1284 , 1284
2007/04/06, 17484.78, 1717.08, 7201 , 011  , 日産自動車 , 1275 , 1275
2007/04/09, 17743.76, 1738.1 , 7201 , 011  , 日産自動車 , 1292 , 1292
2007/04/10, 17664.69, 1735.69, 7201 , 011  , 日産自動車 , 1279 , 1279
2007/04/11, 17670.07, 1739.01, 7201 , 011  , 日産自動車 , 1271 , 1271
2007/04/12, 17540.42, 1726.18, 7201 , 011  , 日産自動車 , 1252 , 1252
2007/04/13, 17363.95, 1705.5 , 7201 , 011  , 日産自動車 , 1228 , 1228
2007/04/16, 17628.3 , 1725.6 , 7201 , 011  , 日産自動車 , 1227 , 1227
2007/04/17, 17527.45, 1716.11, 7201 , 011  , 日産自動車 , 1212 , 1212
2007/04/18, 17667.33, 1730.71, 7201 , 011  , 日産自動車 , 1213 , 1213
2007/04/19, 17371.97, 1706.93, 7201 , 011  , 日産自動車 , 1204 , 1204
2007/04/20, 17452.62, 1710.07, 7201 , 011  , 日産自動車 , 1214 , 1214
2007/04/23, 17455.37, 1705.63, 7201 , 011  , 日産自動車 , 1220 , 1220
2007/04/24, 17451.77, 1706.16, 7201 , 011  , 日産自動車 , 1228 , 1228
2007/04/25, 17236.16, 1687.34, 7201 , 011  , 日産自動車 , 1193 , 1193
2007/04/26, 17429.17, 1703.41, 7201 , 011  , 日産自動車 , 1216 , 1216
2007/04/27, 17400.41, 1701.0 , 7201 , 011  , 日産自動車 , 1215 , 1215
2007/05/01, 17274.98, 1693.25, 7201 , 011  , 日産自動車 , 1220 , 1220
2007/05/02, 17394.92, 1704.22, 7201 , 011  , 日産自動車 , 1205 , 1205
2007/05/07, 17669.83, 1733.03, 7201 , 011  , 日産自動車 , 1222 , 1222
2007/05/08, 17656.84, 1732.63, 7201 , 011  , 日産自動車 , 1228 , 1228
2007/05/09, 17748.12, 1745.01, 7201 , 011  , 日産自動車 , 1252 , 1252
2007/05/10, 17736.96, 1736.99, 7201 , 011  , 日産自動車 , 1226 , 1226
2007/05/11, 17553.72, 1723.09, 7201 , 011  , 日産自動車 , 1236 , 1236
2007/05/14, 17677.94, 1730.99, 7201 , 011  , 日産自動車 , 1291 , 1291
2007/05/15, 17512.98, 1712.55, 7201 , 011  , 日産自動車 , 1300 , 1300
2007/05/16, 17529.0 , 1711.89, 7201 , 011  , 日産自動車 , 1306 , 1306
2007/05/17, 17498.6 , 1707.27, 7201 , 011  , 日産自動車 , 1306 , 1306
2007/05/18, 17399.58, 1695.69, 7201 , 011  , 日産自動車 , 1300 , 1300
2007/05/21, 17556.87, 1710.67, 7201 , 011  , 日産自動車 , 1326 , 1326
2007/05/22, 17680.05, 1731.54, 7201 , 011  , 日産自動車 , 1332 , 1332
2007/05/23, 17705.12, 1740.08, 7201 , 011  , 日産自動車 , 1340 , 1340
2007/05/24, 17696.97, 1738.11, 7201 , 011  , 日産自動車 , 1358 , 1358
2007/05/25, 17481.21, 1715.54, 7201 , 011  , 日産自動車 , 1334 , 1334
2007/05/28, 17587.59, 1724.38, 7201 , 011  , 日産自動車 , 1345 , 1345
2007/05/29, 17672.56, 1737.9 , 7201 , 011  , 日産自動車 , 1355 , 1355
2007/05/30, 17588.26, 1733.75, 7201 , 011  , 日産自動車 , 1356 , 1356
2007/05/31, 17875.75, 1755.68, 7201 , 011  , 日産自動車 , 1354 , 1354
2007/06/01, 17958.88, 1767.88, 7201 , 011  , 日産自動車 , 1331 , 1331
2007/06/04, 17973.42, 1772.84, 7201 , 011  , 日産自動車 , 1346 , 1346
2007/06/05, 18053.81, 1776.56, 7201 , 011  , 日産自動車 , 1348 , 1348
2007/06/06, 18040.93, 1778.5 , 7201 , 011  , 日産自動車 , 1367 , 1367
2007/06/07, 18053.38, 1779.72, 7201 , 011  , 日産自動車 , 1337 , 1337
2007/06/08, 17779.09, 1756.16, 7201 , 011  , 日産自動車 , 1299 , 1299
2007/06/11, 17834.48, 1761.15, 7201 , 011  , 日産自動車 , 1325 , 1325
2007/06/12, 17760.91, 1751.62, 7201 , 011  , 日産自動車 , 1315 , 1315
2007/06/13, 17732.77, 1745.92, 7201 , 011  , 日産自動車 , 1317 , 1317
2007/06/14, 17842.29, 1756.64, 7201 , 011  , 日産自動車 , 1335 , 1335
2007/06/15, 17971.49, 1772.94, 7201 , 011  , 日産自動車 , 1341 , 1341
2007/06/18, 18149.52, 1788.39, 7201 , 011  , 日産自動車 , 1361 , 1361
2007/06/19, 18163.61, 1780.49, 7201 , 011  , 日産自動車 , 1340 , 1340
2007/06/20, 18211.68, 1783.72, 7201 , 011  , 日産自動車 , 1351 , 1351
2007/06/21, 18240.3 , 1789.38, 7201 , 011  , 日産自動車 , 1330 , 1330
2007/06/22, 18188.63, 1777.99, 7201 , 011  , 日産自動車 , 1319 , 1319
2007/06/25, 18087.48, 1764.87, 7201 , 011  , 日産自動車 , 1332 , 1332
2007/06/26, 18066.11, 1765.87, 7201 , 011  , 日産自動車 , 1320 , 1320
2007/06/27, 17849.28, 1741.08, 7201 , 011  , 日産自動車 , 1283 , 1283
2007/06/28, 17932.27, 1751.12, 7201 , 011  , 日産自動車 , 1301 , 1301
2007/06/29, 18138.36, 1774.88, 7201 , 011  , 日産自動車 , 1321 , 1321
2007/07/02, 18146.3 , 1780.36, 7201 , 011  , 日産自動車 , 1334 , 1334
2007/07/03, 18149.9 , 1781.86, 7201 , 011  , 日産自動車 , 1341 , 1341
2007/07/04, 18168.72, 1782.44, 7201 , 011  , 日産自動車 , 1335 , 1335
2007/07/05, 18221.48, 1788.16, 7201 , 011  , 日産自動車 , 1343 , 1343
2007/07/06, 18140.94, 1779.67, 7201 , 011  , 日産自動車 , 1328 , 1328
2007/07/09, 18261.98, 1792.23, 7201 , 011  , 日産自動車 , 1327 , 1327
2007/07/10, 18252.67, 1789.2 , 7201 , 011  , 日産自動車 , 1330 , 1330
2007/07/11, 18049.51, 1767.72, 7201 , 011  , 日産自動車 , 1305 , 1305
2007/07/12, 17984.14, 1763.06, 7201 , 011  , 日産自動車 , 1324 , 1324
2007/07/13, 18238.95, 1783.2 , 7201 , 011  , 日産自動車 , 1335 , 1335
2007/07/17, 18217.27, 1778.11, 7201 , 011  , 日産自動車 , 1320 , 1320
2007/07/18, 18015.58, 1758.65, 7201 , 011  , 日産自動車 , 1313 , 1313
